考号,姓名,班级,语文,数学,英语,总分,班名次
1000,任桂香,一班,88,105,60,253,37
1001,陈桂芳,二班,77,88,133,298,9
1002,陈淑华,一班,118,86,105,309,5
1003,徐秀芳,二班,94,69,73,236,41
1004,赵桂英,一班,69,88,94,251,40
1005,陈云,二班,54,111,91,256,31
1006,毛晶,一班,87,83,122,292,9
1007,赵超,二班,86,86,104,276,18
1008,尹志强,一班,90,106,92,288,13
1009,冯淑华,二班,91,114,89,294,
1010,杨瑞,一班,72,65,91,228,47
1011,宋桂芳,二班,71,105,96,272,22
1012,刘桂珍,一班,84,77,89,250,41
1013,刘欣,二班,102,107,66,275,19
1014,杨鑫,一班,128,77,66,271,27
1015,郭凤英,二班,121,114,109,344,1
1016,白波,一班,76,111,88,275,25
1017,汤桂荣,二班,62,,65,204,47
1018,朱璐,一班,108,113,69,290,10
1019,黄磊,二班,87,98,66,251,35
1020,李玉珍,一班,109,70,63,242,43
1021,孙亮,二班,73,83,72,228,43
1022,张冬梅,一班,114,90,61,265,30
1023,王浩,二班,97,61,123,281,14
1024,邓建华,一班,66,81,94,241,44
1025,姜建平,二班,74,70,95,239,40
1026,吕秀华,一班,59,111,64,234,45
1027,柯浩,二班,65,87,46,198,49
1028,林丽,一班,90,75,97,262,32
1029,魏想,二班,88,108,70,266,26
1030,张燕,一班,106,90,80,276,24
1031,李俊,二班,94,74,78,246,37
1032,叶丹丹,一班,79,94,,261,33
1033,杨娟,二班,47,119,125,291,12
1034,施东,一班,77,107,101,285,16
1035,梁建平,二班,81,86,111,278,17
1036,谢凤兰,一班,58,106,115,279,19
1037,王雷,二班,77,119,108,304,7
1038,罗萍,一班,112,88,69,269,28
1039,胡博,二班,82,45,73,200,48
1040,郝颖,一班,103,73,98,274,26
1041,冯东,二班,131,79,97,307,6
1042,万艳,一班,59,109,109,277,22
1043,万秀梅,二班,77,71,81,229,42
1044,罗晶,一班,65,101,111,277,22
1045,杨秀梅,二班,92,54,122,268,24
1046,胡丽丽,一班,100,95,58,253,37
1047,王桂荣,二班,88,91,92,271,23
1048,赵伟,一班,102,73,80,255,34
1049,吴桂芝,二班,75,85,53,213,45
1050,侯宁,一班,109,99,105,313,4
1051,刘桂花,二班,87,96,80,263,28
1052,陈海燕,一班,121,,63,249,42
1053,李梅,二班,87,93,137,317,3
1054,刘雪,一班,111,101,77,289,11
1055,施旭,二班,70,70,104,244,39
1056,高瑜,一班,109,108,71,288,13
1057,李刚,二班,61,92,99,252,34
1058,何旭,一班,94,105,106,305,7
1059,杨杰,二班,115,106,58,279,16
1060,邓琴,一班,76,85,127,288,13
1061,赵玉华,二班,76,84,85,245,38
1062,钟桂珍,一班,104,84,96,284,17
1063,史桂荣,二班,62,92,113,267,25
1064,周雪梅,一班,101,85,107,293,8
1065,张桂荣,二班,107,98,104,309,5
1066,胡勇,一班,111,75,78,,31
1067,孙玉珍,二班,103,124,88,315,4
1068,王岩,一班,69,114,84,267,29
1069,覃丽娟,二班,82,42,87,211,46
1070,陈娟,一班,,70,108,280,18
1071,魏瑞,二班,69,77,70,216,44
1072,王亮,一班,71,59,80,210,49
1073,谈玉英,二班,81,83,93,257,30
1074,梁文,一班,55,98,100,253,37
1075,汪凯,二班,86,100,87,273,21
1076,李霞,一班,125,110,105,340,2
1077,鞠桂珍,二班,62,89,103,254,32
1078,冷帅,一班,108,88,129,325,3
1079,刘娟,二班,99,77,77,253,33
1080,吴桂花,一班,100,106,101,307,6
1081,任利,二班,87,112,61,260,29
1082,魏瑞,一班,78,,107,278,20
1083,查畅,二班,99,69,112,280,15
1084,李帅,一班,121,126,97,344,1
1085,罗桂香,二班,133,103,97,333,2
1086,孙宇,一班,92,76,84,,39
1087,苏秀梅,二班,92,83,90,265,27
1088,齐凤兰,一班,46,110,56,212,48
1089,李婷婷,二班,94,92,,274,20
1090,赵龙,一班,78,107,101,286,15
1091,孙玉兰,二班,106,77,112,295,10
1092,游建平,一班,69,95,67,231,
1093,邓彬,二班,105,71,111,287,13
1094,黄婷婷,一班,55,64,85,204,50
1095,林婷,二班,92,117,93,302,8
1096,陈梅,一班,102,69,83,254,35
1097,邹波,二班,72,86,91,249,36
1098,莫秀兰,一班,75,99,103,277,22
1099,温杰,二班,50,64,73,187,50
