id,release_date,title,vote_average,vote_count
19995,2009-12-10,Avatar,7.2,11800
285,2007-05-19,Pirates of the Caribbean: At World's End,6.9,4500
206647,2015-10-26,Spectre,6.3,4466
49026,2012-07-16,The Dark Knight Rises,7.6,9106
49529,2012-03-07,John Carter,6.1,2124
559,2007-05-01,Spider-Man 3,5.9,3576
38757,2010-11-24,Tangled,7.4,3330
99861,2015-04-22,Avengers: Age of Ultron,7.3,6767
767,2009-07-07,Harry Potter and the Half-Blood Prince,7.4,5293
209112,2016-03-23,Batman v Superman: Dawn of Justice,5.7,7004
1452,2006-06-28,Superman Returns,5.4,1400
10764,2008-10-30,Quantum of Solace,6.1,2965
58,2006-06-20,Pirates of the Caribbean: Dead Man's Chest,7.0,5246
57201,2013-07-03,The Lone Ranger,5.9,2311
49521,2013-06-12,Man of Steel,6.5,6359
2454,2008-05-15,The Chronicles of Narnia: Prince Caspian,6.3,1630
24428,2012-04-25,The Avengers,7.4,11776
1865,2011-05-14,Pirates of the Caribbean: On Stranger Tides,6.4,4948
41154,2012-05-23,Men in Black 3,6.2,4160
122917,2014-12-10,The Hobbit: The Battle of the Five Armies,7.1,4760
1930,2012-06-27,The Amazing Spider-Man,6.5,6586
20662,2010-05-12,Robin Hood,6.2,1398
57158,2013-12-11,The Hobbit: The Desolation of Smaug,7.6,4524
2268,2007-12-04,The Golden Compass,5.8,1303
254,2005-12-14,King Kong,6.6,2337
597,1997-11-18,Titanic,7.5,7562
271110,2016-04-27,Captain America: Civil War,7.1,7241
44833,2012-04-11,Battleship,5.5,2114
135397,2015-06-09,Jurassic World,6.5,8662
37724,2012-10-25,Skyfall,6.9,7604
558,2004-06-25,Spider-Man 2,6.7,4321
68721,2013-04-18,Iron Man 3,6.8,8806
12155,2010-03-03,Alice in Wonderland,6.4,4645
36668,2006-05-24,X-Men: The Last Stand,6.3,3525
62211,2013-06-20,Monsters University,7.0,3528
8373,2009-06-19,Transformers: Revenge of the Fallen,6.0,3138
91314,2014-06-25,Transformers: Age of Extinction,5.8,3095
